site_id,known_bug_count,true_positive,false_negative,unmatched_detection_review,catalog_recall
site001,3,3,0,0,1.0
site002,0,0,0,4,
site003,3,3,0,1,1.0
site005,0,0,0,1,
site006,1,1,0,2,1.0
site007,0,0,0,1,
site008,0,0,0,8,
site009,0,0,0,2,
site010,0,0,0,1,
site011,0,0,0,2,
site012,0,0,0,2,
site013,0,0,0,2,
site014,0,0,0,2,
site015,0,0,0,2,
site016,0,0,0,2,
site017,1,0,1,3,0.0
site018,0,0,0,1,
site019,0,0,0,1,
site020,1,0,1,4,0.0
site021,1,0,1,7,0.0
site022,1,0,1,2,0.0
site023,0,0,0,2,
site025,0,0,0,2,
site026,0,0,0,2,
site027,0,0,0,2,
site029,0,0,0,1,
site030,0,0,0,1,
site031,0,0,0,1,
site032,0,0,0,4,
site033,0,0,0,1,
site035,0,0,0,4,
site037,0,0,0,1,
site038,0,0,0,4,
site039,1,0,1,2,0.0
site040,1,0,1,4,0.0
site042,0,0,0,1,
site043,1,0,1,2,0.0
site044,0,0,0,1,
site045,0,0,0,1,
site046,2,1,1,4,0.5
site047,0,0,0,4,
site050,0,0,0,1,
site051,0,0,0,1,
site052,0,0,0,1,
site053,0,0,0,2,
site054,0,0,0,1,
site055,1,0,1,1,0.0
site056,1,0,1,1,0.0
site058,0,0,0,2,
site9800,5,0,5,0,0.0
